title,alt_title,type,num_of_ep,studio,year,rating,description,tags
Kara no Kyoukai Movie 5: Mujun Rasen,The Garden of Sinners Movie 5: Paradox Paradigm,Movie,1,ufotable,2008,4.5,"Shiki meets a boy named Tomoe Enjou, a runaway who claims to be a murderer. Shiki allows Tomoe to use her apartment as his hideout. And from that day onward, their strange cohabitation begins. But then one day, Tomoe sees his mother whom he's sure he's killed. Shiki and Tomoe head for the Enjou residence in the Ogawa Complex where the two see Tomoe's parents alive! There Shiki encounters a mage named Souren Araya and finds that he is the mastermind behind all of the incidents involving her up to then. Shiki finds herself trapped within spirals of paradox. And this is only the beginning of a vicious plot by Souren Araya, the powerful sorcerer and archrival of Touko.","['Mystery', 'Overpowered Main Characters', 'Supernatural', 'Based on a Light Novel']"

Mushishi: Hihamukage,Mushishi: Sun-Eating Shade,TV Special Series,1,Artland,2014,4.5,The mushi are said to become uneasy during an eclipse. Tanyuu sends Ginko to monitor a village for the appearance of a mushi that causes a neverending eclipse. Her foreboding is justified when the village is enveloped in darkness...,"['Fantasy', 'Seinen', 'Countryside', 'Illness', 'Supernatural', 'Based on a Manga']"

Howl's Moving Castle,Howl no Ugoku Shiro,Movie,1,Studio Ghibli,2004,4.5,"The responsible Sophie led a relatively normal life, safe within the walls of the hat shop in which she works; for outside, it is rumored, the evil wizard Howl roams the land in his mobile black castle. After a chance and mystical encounter, poor Sophie finds herself transformed by a witch's spell which makes her appear to be an old woman, and thus embarks on an adventure to find Howl’s castle and put an end to her curse. A mystical world of talking flames, sentient scarecrows, and magic aplenty awaits those who seek the legendary Howl...","['Adventure', 'Fantasy', 'Romance', 'Family Friendly', 'Lifestyle Change', 'Magic', 'Based on a Novel']"

Mo Dao Zu Shi,The Grandmaster of Demonic Cultivation,Web,15,G.CMay Animation & Film,2018,4.5,This entry currently doesn't have a synopsis. Check back soon!,"['Action', 'Adventure', 'Mystery', 'Chinese Animation', 'Historical', 'Supernatural', 'Xianxia']"

Kizumonogatari Movie 2: Nekketsu,Kizumonogatari Movie 2: Nekketsu-hen,Movie,1,Shaft,2016,4.5,Part 2 of the Kizumonogatari trilogy.,"['Action', 'Ecchi', 'Psychological', 'Supernatural', 'Vampires', 'Explicit Violence', 'Based on a Light Novel']"

Rurouni Kenshin: Tsuiokuhen,Rurouni Kenshin: Trust & Betrayal,OVA,4,Studio Deen,1999,4.5,"Himura Kenshin was a boy orphaned by the murder of his parents. Now he is the Hitokiri Battousai, the most feared and skilled killer in 19th century Japan. In the midst of a blood bath, he meets the love of his life, Tomoe. Will he continue to fight his enemies in a killing rage or will she sheath his bloodstained sword?","['Romance', '19th Century', 'Feudal Japan', 'Melancholy', 'Samurai', 'Star-Crossed Lovers', 'Swordplay', 'Violence', 'Based on a Manga']"

Fate/Zero 2,No alternative title found,TV Series,12,ufotable,2012,4.5,"The Holy Grail War wages unabated. The Servants face the impossible task of allying against Caster to win additional command spells, while beneath this thin veneer of amity, their Masters plot to destroy each other. Saber herself must battle not just the monsters bearing down upon her but the doubts inside her own heart about the path of valor she has chosen. After all, what is the place of ancient righteousness in a modern world where the only rule is to win at any cost? As the Holy Grail War enters its deadliest phase, the world becomes witness to both inconceivable horrors and incredible heroism - but the question remains which will prevail.","['Action', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'Proxy Battles', 'Rivalries', 'Superpowers', 'Urban Fantasy', 'Violence', 'Based on a Light Novel']"

The Disastrous Life of Saiki K. 2nd Season,Saiki Kusuo no Psi Nan 2nd Season,TV Series,24,J.C. Staff,2018,4.5,Second season of The Disastrous Life of Saiki K.,"['Comedy', 'Shounen', 'Slice of Life', 'Breaking the Fourth Wall', 'Gag', 'Psychic Powers', 'School Life', 'Supernatural', 'Superpowers', 'Based on a Manga']"

Usagi Drop,Bunny Drop,TV Series,11,Production I.G,2011,4.5,"When Daikichi's grandfather dies he leaves behind a young daughter named Rin. However, as most of the family is embarrassed at the idea of a 79-year-old man having a six-year-old child, they can't seem to figure out what to do with her. Disgusted by this behavior, Daikichi decides to take care of her himself, but he's a bachelor, has no idea how to raise a child, and isn't even all that comfortable with kids! Now, Daikichi must do the normal things a parent does such as enroll her in school, buy her clothing and teach her about the life and world around her. But more importantly, he must also help her deal with her father's death and decide whether or not she should try to find her mother. Together, the two begin their unlikely relationship as father and daughter, navigating each of life's bumps along the way.","['Drama', 'Josei', 'Slice of Life', 'Childcare', 'Family Life', 'Iyashikei', 'Lifestyle Change', 'noitaminA', 'Single Parent', 'Based on a Manga']"

