title,alt_title,type,num_of_ep,studio,year,rating,description,tags
No Game No Life: Zero,No alternative title found,Movie,1,MADHOUSE,2017,4.5,"Six thousand years before Sora and Shiro were even a blink in the history of Disboard, war consumed the land, tearing apart the heavens, destroying stars, and even threatening to wipe out the human race. Amid the chaos and destruction, a young man named Riku leads humanity toward the tomorrow his heart believed in. One day, in the ruins of an Elf city, he meets Shuvi, a female exiled ""Ex-machina"" android who asks him to teach her what it means to have a human heart.","['Action', 'Adventure', 'Drama', 'Fantasy', 'High Stakes Games', 'War', 'Based on a Light Novel']"

Hajime no Ippo: Rising,Fighting Spirit: Rising,TV Series,25,MADHOUSE,2013,4.5,"Ippo continues to defend his Japanese Featherweight title from an ever stronger pool of challengers. Meanwhile, Takamura challenges for his second WBC title in the middleweight class, and Aoki challenges for the Japanese Lightweight title and Coach Kamogawa and Nekota reminisce about their days as prizefighters after WWII.","['Action', 'Drama', 'Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Based on a Manga']"

Assassination Classroom TV 2nd Season,Ansatsu Kyoushitsu 2nd Season,TV Series,25,Lerche,2016,4.5,"Class 3E is about to begin their second semester! And while some things have changed, the class assignment is still the same: kill their teacher before the end of the year! Easier said than done since Koro Sensei's made it clear he won't go down without a fight. Will these students be able to take down the tentacled monster that moves at Mach 20 before he can destroy the world?","['Action', 'Comedy', 'Shounen', 'Assassins', 'Parody', 'School Life', 'Based on a Manga']"

Mushishi Zoku Shou: Suzu no Shizuku,Mushishi -Next Passage- Movie,Movie,1,Artland,2015,4.5,"The anime adaptation of the final Mushishi manga arc. Ginko stumbles upon a young girl in a mountain with branches and leaves growing out of her body. He later realises that she is the lord of that mountain but finds it strange that a human like her was chosen as the lord. He later meets her older brother who has continued to search for her ever since she disappeared while she was accompanying him on a stormy day. The story is about that girl, Kaya, and how she is torn between continuing her duty as a mushi lord and returning back to her loving human family.","['Fantasy', 'Seinen', 'Countryside', 'Forest', 'Iyashikei', 'Supernatural', 'Based on a Manga']"

Your lie in April,Shigatsu wa Kimi no Uso,TV Series,22,A-1 Pictures,2014,4.5,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. His monotonus life was about to change forever.","['Drama', 'Romance', 'Shounen', 'Classical Music', 'Illness', 'Melancholy', 'Music', 'noitaminA', 'Psychological', 'School Life', 'Tournaments', 'Physical Abuse', 'Based on a Manga']"

Kuroko's Basketball 3,Kuroko no Basket 3,TV Series,25,Production I.G,2015,4.5,"Seirin High School makes it into the semifinals of the Winter Cup. They defeated Touou Gakuen, featuring Aomine, and Yosen, featuring Murasakibara, both from the ""Generation of Miracles,"" causing Seirin to be one of the more noticed schools. They firm their resolve towards the semifinals. Kagami, nudged by Kuroko, heads outside of the tournament building in order to reconcile with Himuro, but sees a guy picking a fight with Himuro and Alex, steps in to help them. That guy is Shogo Haizaki of Fukuda Sogo Gakuen. He is a graduate of Teiko Junior HIgh, and he was supposedly a regular player in the first-string team before Kise joined...","['Shounen', 'Sports', 'Basketball', 'School Club', 'Tournaments', 'Based on a Manga']"

Hotarubi no Mori e,To the Forest of Firefly Lights,Movie,1,Brain's Base,2011,4.5,"While visiting her uncle for the summer, six year old Hotaru gets lost in the woods outside the village. Scared, the crying girl is eventually rescued by a gentle youkai named Gin, who is burdened with a curse that will cause him to disappear if ever touched by a human. Though they are barred from physical contact, the two become close friends. But after a few short years it becomes apparent that Gin ages more slowly than humans, so while Hotaru is growing up and changing, Gin remains in stasis. How will Hotaru adapt to the complicated emotions she develops as her and Gin's ages gradually converge?","['Drama', 'Romance', 'Shoujo', 'Coming of Age', 'Forest', 'Japanese Mythology', 'Loneliness', 'Melancholy', 'Supernatural', 'Youkai', 'Based on a Manga']"

Fairy Tail (2018),No alternative title found,TV Series,3,A-1 Pictures,2018,4.5,The final season of Fairy Tail.,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Guilds', 'Magic', 'Based on a Manga']"

Attack on Titan 3rd Season,Shingeki no Kyojin 3rd Season,TV Series,12,Wit Studio,2018,4.5,"Deep in the forest, Eren continues to hone his Titan abilities so that the military can reclaim Wall Maria. But soon, the Scouts find themselves persecuted for a crime they didn't commit, and Eren and Christa are thrust into the center of a political conspiracy that puts all of mankind at risk. Humans must fight against humans - not Titans - if they are to live another day, as all the while new secrets about the Titans emege...","['Action', 'Fantasy', 'Horror', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Political', 'Post-apocalyptic', 'Cannibalism', 'Explicit Violence', 'Based on a Manga']"

Mushishi Zoku Shou: Odoro no Michi,Mushishi -Next Passage- Path of Thorns,TV Special Series,1,Artland,2014,4.5,"Should darkness rise from the depths of the cavern, the boundary between and man and mushi will vanish. Life itself will become bereft of death, and the natural order will crumble. The world as we know it will be no more. Mishappen beings and taboos unique to man lie in wait along the path of thorns...","['Fantasy', 'Seinen', 'Forest', 'Iyashikei', 'Supernatural', 'Based on a Manga']"

Great Teacher Onizuka,No alternative title found,TV Series,43,Studio Pierrot,1999,4.5,"With a history of leading a motorcycle gang and getting bad grades in school, why would 22 year old Onizuka ever want to become a teacher? Is it to educate young minds or spread the joy of education? Sure, if it involves being able to look up high school girls' skirts! Watch as this would-be educator uses his own life lessons and unconstituted methods as a means to control a delinquent class of students -- students who certainly aren't as happy to have him as a teacher as he is happy to be teaching...","['Comedy', 'Drama', 'Shounen', 'Delinquents', 'School Life', 'Slapstick', 'Teaching', 'Work Life', 'Bullying', 'Emotional Abuse', 'Based on a Manga']"

Cowboy Bebop,No alternative title found,TV Series,26,Sunrise,1998,4.5,"Follow interstellar bounty hunters Spike Spiegel and Jet Black as they scour the galaxy for criminals with prices on their heads. Hoping to escape their past, they live on the spaceship Bebop, but it's a dangerous business and old enemies don't forget easily. Allies come from unlikely sources, however, as they find comrades in the beautiful swindler Faye Valentine, the genius child hacker Ed and the genetically engineered 'data dog' Ein. Will they be able to help each other though their respective struggles, or is their fate really inevitable?","['Action', 'Adventure', 'Drama', 'Sci Fi', 'Bounty Hunters', 'Drug Use', 'Episodic', 'Noir', 'Original Work', 'Violence', 'Western']"

Natsume Yuujinchou San,Natsume's Book of Friends Season 3,TV Series,13,Brain's Base,2011,4.5,"Takashi Natsume sees spirits, and with the help of his lazy and sake-guzzling bodyguard Nyanko-sensei he returns to spirits their names that were stolen by his grandmother Reiko Natsume. Not all of the spirits are peaceful though, and he often fights to keep himself and his family and friends safe while at the same time fighting the loneliness that plagued him before he found his home.","['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']"

Food Wars! The Second Plate,Shokugeki no Souma: Ni no Sara,TV Series,13,J.C. Staff,2016,4.5,"After the qualifying test with curry dishes, eight contestants have entered the quarterfinal of Autumn Elections: Souma, Megumi, Takumi, Hisako, Alice, Kurokiba, Hayama, and Mimasaka. Their next challenge: bento.","['Comedy', 'Ecchi', 'Shounen', 'Cooking', 'Culinary School', 'Food and Beverage', 'School Life', 'Tournaments', 'Based on a Manga']"

The Boy and the Beast,Bakemono no Ko,Movie,1,Studio Chizu,2015,4.5,"When Kyuuta, a young orphan living on the streets of Shibuya, stumbles into a fantastic world of beasts, he’s taken in by Kumatetsu, a gruff, rough-around-the-edges warrior beast who’s been searching for the perfect apprentice. Despite their constant bickering, Kyuuta and Kumatetsu begin training together and slowly form a bond as surrogate father and son. But when a deep darkness threatens to throw the human and beast worlds into chaos, the strong bond between this unlikely pair will be put to the ultimate test—a final showdown that will only be won if the two can finally work together using all of their combined strength and courage.","['Action', 'Fantasy', 'Coming of Age', 'Japanese Mythology', 'Original Work', 'Person in a Strange World']"

Yona of the Dawn: Zeno Arc,Akatsuki no Yona: Zeno Arc,OVA,2,Studio Pierrot,2016,4.5,"The two anime episodes will completely cover the Zeno Arc, which tells the backstory of the character Zeno.","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shoujo', 'Orphans', 'Political', 'Royalty', 'Violence', 'Based on a Manga']"

Kuroko's Basketball 2,Kuroko no Basket 2,TV Series,25,Production I.G,2013,4.5,Kuroko and Kagami enter the Winter Cup together with the rest of the Seirin Basketball team where they will face off against the rest of the Generation of Miracles.,"['Shounen', 'Sports', 'Basketball', 'School Club', 'Tournaments', 'Based on a Manga']"

Food Wars! The Third Plate,Shokugeki no Souma: San no Sara,TV Series,12,J.C. Staff,2017,4.5,"Souma Yukihira began polishing his cooking skills by helping out at his family’s diner, and is now enrolled at the elite cooking school, Totsuki Teahouse Culinary Academy. Having met various other chefs at the academy, Souma has started working to refine his own culinary style. Gaining experience working at actual restaurants has helped him take his skills to the next level and discover a whole new taste for his dishes, and now he's ready to challenge the Totsuki Elite Ten at the school's Moon Festival, a massive event that brings in 500,000 attendees each year! Souma’s new battle is about to begin!","['Comedy', 'Ecchi', 'Shounen', 'Boarding House', 'Cooking', 'Culinary School', 'Food and Beverage', 'Neighbors', 'School Life', 'Tournaments', 'Based on a Manga']"

Kamisama Kiss OVA 2,Kamisama Hajimemashita: Kako-hen,OVA,4,TMS Entertainment,2015,4.5,"The OAD will adapt the ""past arc,"" which spans from mid-volume 14 to volume 17 in the manga. ","['Comedy', 'Romance', 'Shoujo', 'Japanese Mythology', 'Master-Servant Relationship']"

Food Wars! The Third Plate: Totsuki Train Arc,Shokugeki no Souma: San no Sara  - Toutsuki Ressha,TV Series,12,J.C. Staff,2018,4.5,Continuation of Food Wars! The Third Plate.,"['Comedy', 'Ecchi', 'Shounen', 'Cooking', 'Culinary School', 'Food and Beverage', 'School Life', 'Tournaments', 'Based on a Manga']"

Legend of the Galactic Heroes,Ginga Eiyuu Densetsu,OVA,110,Artland,1988,4.5,"The war between the monarchical Galactic Empire and the democratic Free Planets Alliance has raged ceaselessly across the galaxy for over a century, with the fleets of both powers having fought countless battles. Currently the conflict revolves around the strategic Iserlohn Corridor, one of only two passages of space through which the two forces can access each other. Here the Empire has built the nigh-impregnable Iserlohn Fortress, whose deadly weaponry has thwarted repeated efforts by the Alliance to capture her. Phezzan, a neutral mercantile state, controls the other corridor. The long war has resulted in an indecisive stalemate, but there are two men from the two worlds who will change everything: Wen-Li Yang, a gifted strategist from the Alliance who wants nothing more than to retire and be a historian; and Reinhard von Lohengramm, a man from the Empire whose ambition knows no bounds. Their loves, struggles, triumphs and failures play across an interstellar stage of intrigue, war and death.","['Drama', 'Sci Fi', 'Military', 'Outer Space', 'Political', 'Rivalries', 'Space Opera', 'War', 'Explicit Violence', 'Based on a Novel']"
